Character,Line
Travis,"Damn you! Why?!
"
Vice President,"Because when I'm President, I can't have pests like you constantly trying to preach that the world is alive! You're an idealistic fool! The world is not ""conscious,"" we are conscious! If the world was alive, it would feel this! 
"
Clyde,"Ow. 
"
Vice President,"You die he- 
"
Cartman,"Kenny McCormick, you are charged with bringing head cooties into our school, and lying about it to cover your ass! How do you plead?!
"
Kenny,"(Not guilty!)
"
Cartman,"Guilty! I thought so! 
"
Craig,"All right, let's do this!
"
Clyde,"You guys, maybe we should just... wait a few more minutes?
"
Cartman,"All right, Kenny. You know what has to happen! Sock bath! Everyone wash Kenny with the soap and dry him off with the socks! 
"
Kenny,"Nohoho! No, not the socks! Ahhhgh, stop!
"
Clyde,"Wait, wait!
"
Kyle,"Wait... stop it, stop it!  I can't let Kenny be sock-dried.
"
Craig,"He had cooties and he lied about it!
"
Kyle,"Kenny didn't have the head lice, all right?!  It was me.
"
Clyde,"What?
"
Kyle,"I was the one. I was too afraid to say anything, but I can't let Kenny be sock-bathed for it.
"
Stan,"Why are you saying that, Kyle? You can't be the one who had head lice.  Because I was. You're just trying to make me feel bad because you figured that out, didn't you?!
"
Clyde,"Wait a-wait a minute, what?
"
Cartman,"Oh I get it.  This is some kind of big trick on me! You've known I was the one with head lice all along, huh?!
"
Stan,"You had head lice?
"
Cartman,"Of course! Why do you think I went through that elaborate bullcrap experiment to frame Kenny?!
"
Mrs. Garrison,"You all had head lice!  Every single person in the class! The boys aaand the girls! Lice spreads fast, you dumb-asses!
"
Craig,"I thought I was the only one.
"
Butters,"Me too.
"
Cartman,"But that means... that means Kenny was lying! Sock bath! 
"
Kenny,"Dudes!
"
Travis,"Kellih. Kellih, can you hear mih? I don't know if you can. But... I wanted you to know I tried. I tried to save our babih. But I let you down, babe.  Keh... k-Kellih? 
"
Louse 13,"You are welcome here.  You're safe now. We've lived here for generation after generation, never being disturbed.
"
Travis,"Heh. We made it, Hope. We made it, Kellih! 
"
Agent,"Ladies and gentlemen, Miss Angelina Jolie! 
"
Angelina Jolie,"Hello everyone!  Hello!
"
Mrs. Garrison,"All right, students, let's take our seats. Everyone try to be nice because we have a new student joining us today, and I know you'll all make him feel welcome. Say hello to... Baahir Hassan Abdul Hakeem.
"
Cartman,"Uh oh! 
"
Mrs. Garrison,"Welcome to our class, Baahir.
"
Baahir,"Thank you.
"
Cartman,"Duhude, dude,  not cool!
"
Mrs. Garrison,"Why don't you take a seat in Kyle's empty desk for now?
"
Baahir,"Okay. 
"
Cartman,"Oooh hooohoho. Nooo, noohoohoo.
"
Mrs. Garrison,"Eric, what the hell is wrong with you?!
"
Cartman,"What's wrong?  Has he been checked for bombs?
"
Mrs. Garrison,"Eric, that's enough! Not all Muslim people are terrorists!
"
Cartman,"No, but most of them are. And all it takes is most of them.
"
Butters,"Now you go, Baahir. 
"
Kyle,"Yeah?
"
Cartman,"Kyle, are you on your computer?
"
Kyle,"What? No, I'm sick. 
"
Cartman,"Get online. I need you to check something for me.
"
Kyle,"Dude, leave me alone.
"
Cartman,"Kyle, every one of our friends might be in serious danger!
"
Kyle,"What? Why?
"
Cartman,"Get online now!
"
Kyle,"All right, all right. 
"
Cartman,"Go to MySpace.  See if there's a MySpace page for a Baahir Hakeem.
"
Kyle,"Baahir Hakeem.  Born in Chicago, eight years old, his favorite color is green... Car, Cartman, what is this all about?
"
Cartman,"Kyle, I want you to check his buddy list. How many MySpace friends does he have?
"
Kyle,"Over a hundred.
"
Cartman,"Look further down the page. Does he list his favorite band?
"
Kyle,"White Stripes
"
Cartman,"That's funny.
"
Kyle,"What?
"
Cartman,"He told everyone in class today his favorite band was Blink 182.
"
Cartman,"The following takes place between Recess and Geography class.
"
Barbrady,"Hello?
"
Cartman,"Officer Barbrady, South Park Elementary is in serious danger! 
"
Barbrady,"From what? Who is this?
"
Cartman,"I've just ID'd a Muslim and his MySpace page does not check out. You've got to get these people out of here now!
"
Barbrady,"Are you serious?
"
Cartman,"If I wasn't serious, would I be talking like this?
"
Barbrady,"Like what?
"
Cartman,"Whispering, but whispering really loudly for dramatic effect.
"
Barbrady,"Oh jeez.
"
Mrs. Garrison,"What the hell?
"
Principal Victoria,"All students are to evacuate the school immediately! 
"
Butters,"Hey, Baahir, uh since we get to go home, you wanna come over uh, play checkers?
"
Baahir,"Sure, okay. 
"
Butters,"Well all right! 
"
Kyle,"Dude. 
"
Cartman,"Yeah. 
"
Kyle,"Dude, I just got an IM from Stan that they evacuated the school.
"
Cartman,"Yeah. Now do you believe me that somethin' is goin' on?!
"
Kyle,"I guess so.
"
Cartman,"Yeah well I don't like it! It doesn't follow!
"
Kyle,"Wuh what doesn't follow?
"
Cartman,"Why would a terrorist just blow up a school? It's not their M.O. Unless... Oh my God! Unless this was all just a big diversion.  Kyle, I need you to Google-search the South Park Chamber of Commerce!
"
Kyle,"Okay.
"
Cartman,"Their Web site should have a calendar of events: is there anything big going on in town today?!
"
Kyle,"Yeah. Actually, there is.
"
Cartman,"What?
"
Kyle,"There's a Hillary Clinton campaign rally.  Cartman? ...Cartman? 
"
Agent,"Sir! There's somebody calling in saying there's going to be a terrorist attack on the Hillary Clinton rally today.
"
Head Agent,"What?  This is CIA head, Alan Thompson.
"
Cartman,"Mr. Thompson, you have to call off the Clinton rally! There's a terrorist in South Park!
"
Mr. Thompson,"What do you know?
"
Cartman,"He just showed up out of the blue! I need to speak with the President right away!
"
Mr. Thompson,"I'm the head of the CIA! You can tell me!
"
Cartman,"I said I will only talk to the President!
"
Mr. Thompson,"Look, if you have information of a threat, you could-
"
Cartman,"LALALALALALALALA!
"
Mr. Thompson,"I will have you arrested for-!
"
Cartman,"LALALA-I can't hear you! Only the President! LALALALALALA!
"
Aide,"Call is coming through now, Mr. President.
"
Bush,"Hello?
"
Cartman,"President Bush, this is Eric Cartman! Are we on a secure line?
"
Bush,"Huh? Who.
"
Cartman,"Look, I know you're not the biggest Hildog fan, but she is in great danger right now!
"
Bush,"Hildog?
"
Aide,"Yes, I understand. I'll let Ms. Clinton know.
"
Hillary,"What is it, Brian?
"
Brian,"Ms. Clinton, we just received word of a possible terrorist attack on your rally today.
"
Hillary,"Is the thread credible?
"
Brian,"We aren't sure, but... perhaps it's best we call it off. 
"
Hillary,"No. No, I will not be bullied by terrorist threats. Your men do a good job, Brian. I have faith that any thread will be taken care of accordingly.
"
Driver,"We've reached the rally site, Hildog.
"
Aide 2,"Don't worry, Mrs. Clinton, I'm sure everything will be fine.
"
Hillary,"Thank you, Chris. 
"
Chris,"They know about the bomb!
"
Blond Russian,"That is impossible! We took every measure to assure the bomb was hidden from sight.
"
Chris,"Well somebody tipped off the CIA. I don't know how much they know, but security has been heightened.
"
Blond Russian,"That bomb must travel with the Clinton rally to Boston!
"
Chris,"The bomb won't make it to Boston now! With the heightened security, it's only a matter of time before they find it!
"
Blonde Russian,"Then we have no choice. We have to move up the attack.
"
Chris,"I understand, comrade.
"
Blonde Russian,"Prepare yourself. We detonate the bomb... within the hour.
"
Cartman,"Kyle, I'm at the Clinton rally site, but there's no sign of that kid!
"
Kyle,"So then maybe you're wrong.
"
Cartman,"Nope, I'm not wrong. He must be somehow attacking remotely from his house. Did you find the address?
"
Kyle,"Yeah. I cross-referenced his MySpace page with realtor.com. His parents moved into that green house on Janice Street.
"
Cartman,"Jesus, that's on the other side of town. All right, Kyle, I'm going to take a picture with my camera phone and upload it to you. You ready?
"
Kyle,"Yeah.  What is that?
"
Cartman,"It's my balls! 
"
Kyle,"God damn it Cartman!
"
Cartman,"Okay. Okay, Kyle, let's stay focused here.
"
Mayor McDaniels,"People of South Park, it is my honor to introduce a woman who deserves nothing but respect. Mrs. Hillary Rodham Clinton! 
"
Hillary,"It is so nice to be back in a small town like the one I came from. 
"
Hildog Fan,"Here we go! 
"
Brian,"Otis Green, anything on that bomb threat? 
"
Otis,"We have the bomb-sniffing pig going through the crowd. If there is a bomb, the pig will find it. 
"
Hillary,"This is why I campaign in small towns like these! Because it is in towns like South Park that you find the true America! 
"
Aide 3,"Oh my God, she got a scent! 
"
Brian,"What?!
"
Aide 3,"The pig is picking up the smell of nuclear residue. Terrorists have hidden a bomb!
"
Brian,"Oh my God! Where?! Where could they have stashed it?!
"
Aide 3,"Come on, find it. Find! 
"
Brian,"My God, they hid it under the stage?!
"
Female Aide,"No wait, look. 
"
Hillary,"How much money do we have to waste on needless spendin' when we should be focusing all our attention on... uh...  on the education of all- Woo haha, whoa there, girl. Haha,  uh, uh, on the education of all children.  Oh, I declare!
"
Otis,"Oh my God. Do you think they could have hidden a nuclear device up Mrs. Clinton's...
"
Agent,"Mr. Thompson, the kid who called in the warning was right! We uncovered intel that terrorists have obtained a nuclear device, and that they have most likely hidden it in Mrs. Clinton's... well, in her...
"
Mr. Thompson,"In her what?
"
Agent,"In her snatch, sir.
"
Mr. Thompson,"What?!
"
Hillary,"What is goin' on? I wasn't finished.
"
Brian,"Security measure, Mrs. Clinton. Probably nothing.  Yes.
"
Mr. Thompson,"Mr. Jeffries, this is Alan Thompson with the CIA. We have reason to believe that Mrs. Clinton may have a nuclear device up her snatch.
"
Brian,"A what?!
"
Mr. Thompson,"A snatch. It's the technical term for vagina.
"
Brian,"No, I mean what kind of nuclear device?!
"
Mr. Waters,"Mr. Jeffries, this is Frank Waters. It's a suitcase nuke, designed to fit in a woman's snizz. It's called a snuke.
"
Hillary,"What is goin' on, Brian?
"
Brian,"Ms. Clinton, it appears that terrorists have snuck a snuke up your snizz.
"
Hillary,"Oh my.
"
Brian,"What do we do? Can we disable the timer?
"
Mr. Thompson,"It won't have a timer. Snukes are detonated remotely. Whoever our terrorist is has a detonator with him.
"
Brian,"But then that means...
"
Mr. Thompson,"Yes. If we don't find that detonator, everyone in the town of South Park is going to die. For-ever.
"
Mr. Thompson,"Do we have that phone trace?
"
CIA Vice Head,"The call is going through now, sir.
"
Cartman,"Yeah? 
"
Mr. Thompson,"This is CIA head Alan Thompson. We spoke before about the- 
"
Cartman,"Yes, Mr. Thompson?
"
Mr. Thompson,"Well, we've just arrived in your town.
"
Cartman,"Why? Did you find something?
"
Mr. Thompson,"Yes. There's a suitcase nuke in Ms. Clinton's snizz.
"
Cartman,"A snuke?
"
Mr. Thompson,"That's right. It's controlled by a remote detonator. We have to locate the terrorist before he sets it off.
"
Cartman,"I have the address of the house the terrorist moved into. I'm almost there now; where are you?
"
Mr. Thompson,"We're on the town's main street, right by an ice cream shop.
"
Cartman,"Oh dude, I'm, I'm right next to you. 
"
Mr. Thompson,"Oh, hey.
"
Stan,"Dude, we totally got let out of school.
"
Kyle,"I know. Something big is going on. Take a look at this. I did a Google search for ""Hillary Clinton Campaign Rally"" right? And one of the links was to YouTube, where this Russian guy had a bunch of videos.
"
Stan,"Russian?
"
Kyle,"Yeah, this guy.  Vladimir Stolfsky. He had videos on YouTube of every single rally.
"
Stan,"So he's a Hillary Clinton fan.
"
Kyle,"No. I cross-referenced his YouTube profile with MySpace, and according to his blog, he's an old-school Communist. So what's he doing at every Clinton rally?
"
